"","Year","Month","Day","Time","TrafX_Count","Date_Time"
"1","22","02","12","18",0,"22 02 12 18"
"2","22","02","12","19",0,"22 02 12 19"
"3","22","02","12","20",0,"22 02 12 20"
"4","22","02","12","21",0,"22 02 12 21"
"5","22","02","12","22",0,"22 02 12 22"
"6","22","02","12","23",0,"22 02 12 23"
"7","22","02","13","00",0,"22 02 13 00"
"8","22","02","13","01",0,"22 02 13 01"
"9","22","02","13","02",0,"22 02 13 02"
"10","22","02","13","03",0,"22 02 13 03"
"11","22","02","13","04",0,"22 02 13 04"
"12","22","02","13","05",0,"22 02 13 05"
"13","22","02","13","06",0,"22 02 13 06"
"14","22","02","13","07",4,"22 02 13 07"
"15","22","02","13","08",6,"22 02 13 08"
"16","22","02","13","09",12,"22 02 13 09"
"17","22","02","13","10",10,"22 02 13 10"
"18","22","02","13","11",11,"22 02 13 11"
"19","22","02","13","12",20,"22 02 13 12"
"20","22","02","13","13",13,"22 02 13 13"
"21","22","02","13","14",3,"22 02 13 14"
"22","22","02","13","15",0,"22 02 13 15"
"23","22","02","13","16",4,"22 02 13 16"
"24","22","02","13","17",0,"22 02 13 17"
"25","22","02","13","18",0,"22 02 13 18"
"26","22","02","13","19",0,"22 02 13 19"
"27","22","02","13","20",0,"22 02 13 20"
"28","22","02","13","21",0,"22 02 13 21"
"29","22","02","13","22",0,"22 02 13 22"
"30","22","02","13","23",0,"22 02 13 23"
"31","22","02","14","00",0,"22 02 14 00"
"32","22","02","14","01",0,"22 02 14 01"
"33","22","02","14","02",0,"22 02 14 02"
"34","22","02","14","03",0,"22 02 14 03"
"35","22","02","14","04",0,"22 02 14 04"
"36","22","02","14","05",0,"22 02 14 05"
"37","22","02","14","06",0,"22 02 14 06"
"38","22","02","14","07",1,"22 02 14 07"
"39","22","02","14","08",8,"22 02 14 08"
"40","22","02","14","09",18,"22 02 14 09"
"41","22","02","14","10",16,"22 02 14 10"
"42","22","02","14","11",9,"22 02 14 11"
"43","22","02","14","12",14,"22 02 14 12"
"44","22","02","14","13",11,"22 02 14 13"
"45","22","02","14","14",15,"22 02 14 14"
"46","22","02","14","15",21,"22 02 14 15"
"47","22","02","14","16",7,"22 02 14 16"
"48","22","02","14","17",21,"22 02 14 17"
"49","22","02","14","18",0,"22 02 14 18"
"50","22","02","14","19",0,"22 02 14 19"
"51","22","02","14","20",0,"22 02 14 20"
"52","22","02","14","21",0,"22 02 14 21"
"53","22","02","14","22",0,"22 02 14 22"
"54","22","02","14","23",0,"22 02 14 23"
"55","22","02","15","00",0,"22 02 15 00"
"56","22","02","15","01",0,"22 02 15 01"
"57","22","02","15","02",0,"22 02 15 02"
"58","22","02","15","03",0,"22 02 15 03"
"59","22","02","15","04",0,"22 02 15 04"
"60","22","02","15","05",0,"22 02 15 05"
"61","22","02","15","06",0,"22 02 15 06"
"62","22","02","15","07",1,"22 02 15 07"
"63","22","02","15","08",15,"22 02 15 08"
"64","22","02","15","09",9,"22 02 15 09"
"65","22","02","15","10",11,"22 02 15 10"
"66","22","02","15","11",24,"22 02 15 11"
"67","22","02","15","12",8,"22 02 15 12"
"68","22","02","15","13",14,"22 02 15 13"
"69","22","02","15","14",15,"22 02 15 14"
"70","22","02","15","15",26,"22 02 15 15"
"71","22","02","15","16",39,"22 02 15 16"
"72","22","02","15","17",12,"22 02 15 17"
"73","22","02","15","18",0,"22 02 15 18"
"74","22","02","15","19",0,"22 02 15 19"
"75","22","02","15","20",0,"22 02 15 20"
"76","22","02","15","21",0,"22 02 15 21"
"77","22","02","15","22",2,"22 02 15 22"
"78","22","02","15","23",4,"22 02 15 23"
"79","22","02","16","00",0,"22 02 16 00"
"80","22","02","16","01",0,"22 02 16 01"
"81","22","02","16","02",0,"22 02 16 02"
"82","22","02","16","03",0,"22 02 16 03"
"83","22","02","16","04",0,"22 02 16 04"
"84","22","02","16","05",0,"22 02 16 05"
"85","22","02","16","06",0,"22 02 16 06"
"86","22","02","16","07",0,"22 02 16 07"
"87","22","02","16","08",9,"22 02 16 08"
"88","22","02","16","09",28,"22 02 16 09"
"89","22","02","16","10",17,"22 02 16 10"
"90","22","02","16","11",14,"22 02 16 11"
"91","22","02","16","12",13,"22 02 16 12"
"92","22","02","16","13",15,"22 02 16 13"
"93","22","02","16","14",34,"22 02 16 14"
"94","22","02","16","15",19,"22 02 16 15"
"95","22","02","16","16",27,"22 02 16 16"
"96","22","02","16","17",20,"22 02 16 17"
"97","22","02","16","18",1,"22 02 16 18"
"98","22","02","16","19",0,"22 02 16 19"
"99","22","02","16","20",0,"22 02 16 20"
"100","22","02","16","21",0,"22 02 16 21"
"101","22","02","16","22",0,"22 02 16 22"
"102","22","02","16","23",0,"22 02 16 23"
"103","22","02","17","00",0,"22 02 17 00"
"104","22","02","17","01",0,"22 02 17 01"
"105","22","02","17","02",0,"22 02 17 02"
"106","22","02","17","03",0,"22 02 17 03"
"107","22","02","17","04",0,"22 02 17 04"
"108","22","02","17","05",0,"22 02 17 05"
"109","22","02","17","06",0,"22 02 17 06"
"110","22","02","17","07",1,"22 02 17 07"
"111","22","02","17","08",11,"22 02 17 08"
"112","22","02","17","09",10,"22 02 17 09"
"113","22","02","17","10",6,"22 02 17 10"
"114","22","02","17","11",10,"22 02 17 11"
"115","22","02","17","12",38,"22 02 17 12"
"116","22","02","17","13",29,"22 02 17 13"
"117","22","02","17","14",18,"22 02 17 14"
"118","22","02","17","15",40,"22 02 17 15"
"119","22","02","17","16",28,"22 02 17 16"
"120","22","02","17","17",13,"22 02 17 17"
"121","22","02","17","18",0,"22 02 17 18"
"122","22","02","17","19",0,"22 02 17 19"
"123","22","02","17","20",0,"22 02 17 20"
"124","22","02","17","21",0,"22 02 17 21"
"125","22","02","17","22",0,"22 02 17 22"
"126","22","02","17","23",0,"22 02 17 23"
"127","22","02","18","00",0,"22 02 18 00"
"128","22","02","18","01",0,"22 02 18 01"
"129","22","02","18","02",0,"22 02 18 02"
"130","22","02","18","03",0,"22 02 18 03"
"131","22","02","18","04",0,"22 02 18 04"
"132","22","02","18","05",0,"22 02 18 05"
"133","22","02","18","06",0,"22 02 18 06"
"134","22","02","18","07",8,"22 02 18 07"
"135","22","02","18","08",0,"22 02 18 08"
"136","22","02","18","09",8,"22 02 18 09"
"137","22","02","18","10",10,"22 02 18 10"
"138","22","02","18","11",12,"22 02 18 11"
"139","22","02","18","12",28,"22 02 18 12"
"140","22","02","18","13",12,"22 02 18 13"
"141","22","02","18","14",14,"22 02 18 14"
"142","22","02","18","15",16,"22 02 18 15"
"143","22","02","18","16",27,"22 02 18 16"
"144","22","02","18","17",15,"22 02 18 17"
"145","22","02","18","18",0,"22 02 18 18"
"146","22","02","18","19",0,"22 02 18 19"
"147","22","02","18","20",0,"22 02 18 20"
"148","22","02","18","21",0,"22 02 18 21"
"149","22","02","18","22",0,"22 02 18 22"
"150","22","02","18","23",0,"22 02 18 23"
"151","22","02","19","00",0,"22 02 19 00"
"152","22","02","19","01",0,"22 02 19 01"
"153","22","02","19","02",0,"22 02 19 02"
"154","22","02","19","03",0,"22 02 19 03"
"155","22","02","19","04",0,"22 02 19 04"
"156","22","02","19","05",0,"22 02 19 05"
"157","22","02","19","06",0,"22 02 19 06"
"158","22","02","19","07",2,"22 02 19 07"
"159","22","02","19","08",7,"22 02 19 08"
"160","22","02","19","09",35,"22 02 19 09"
"161","22","02","19","10",40,"22 02 19 10"
"162","22","02","19","11",51,"22 02 19 11"
"163","22","02","19","12",40,"22 02 19 12"
"164","22","02","19","13",31,"22 02 19 13"
"165","22","02","19","14",68,"22 02 19 14"
"166","22","02","19","15",17,"22 02 19 15"
"167","22","02","19","16",22,"22 02 19 16"
"168","22","02","19","17",4,"22 02 19 17"
"169","22","02","19","18",0,"22 02 19 18"
"170","22","02","19","19",0,"22 02 19 19"
"171","22","02","19","20",0,"22 02 19 20"
"172","22","02","19","21",0,"22 02 19 21"
"173","22","02","19","22",0,"22 02 19 22"
"174","22","02","19","23",0,"22 02 19 23"
"175","22","02","20","00",0,"22 02 20 00"
"176","22","02","20","01",0,"22 02 20 01"
"177","22","02","20","02",0,"22 02 20 02"
"178","22","02","20","03",0,"22 02 20 03"
"179","22","02","20","04",0,"22 02 20 04"
"180","22","02","20","05",0,"22 02 20 05"
"181","22","02","20","06",0,"22 02 20 06"
"182","22","02","20","07",5,"22 02 20 07"
"183","22","02","20","08",24,"22 02 20 08"
"184","22","02","20","09",23,"22 02 20 09"
"185","22","02","20","10",59,"22 02 20 10"
"186","22","02","20","11",40,"22 02 20 11"
"187","22","02","20","12",45,"22 02 20 12"
"188","22","02","20","13",39,"22 02 20 13"
"189","22","02","20","14",64,"22 02 20 14"
"190","22","02","20","15",76,"22 02 20 15"
"191","22","02","20","16",51,"22 02 20 16"
"192","22","02","20","17",14,"22 02 20 17"
"193","22","02","20","18",2,"22 02 20 18"
"194","22","02","20","19",0,"22 02 20 19"
"195","22","02","20","20",0,"22 02 20 20"
"196","22","02","20","21",0,"22 02 20 21"
"197","22","02","20","22",0,"22 02 20 22"
"198","22","02","20","23",0,"22 02 20 23"
"199","22","02","21","00",0,"22 02 21 00"
"200","22","02","21","01",0,"22 02 21 01"
"201","22","02","21","02",0,"22 02 21 02"
"202","22","02","21","03",0,"22 02 21 03"
"203","22","02","21","04",0,"22 02 21 04"
"204","22","02","21","05",0,"22 02 21 05"
"205","22","02","21","06",0,"22 02 21 06"
"206","22","02","21","07",0,"22 02 21 07"
"207","22","02","21","08",26,"22 02 21 08"
"208","22","02","21","09",26,"22 02 21 09"
"209","22","02","21","10",34,"22 02 21 10"
"210","22","02","21","11",62,"22 02 21 11"
"211","22","02","21","12",45,"22 02 21 12"
"212","22","02","21","13",58,"22 02 21 13"
"213","22","02","21","14",51,"22 02 21 14"
"214","22","02","21","15",55,"22 02 21 15"
"215","22","02","21","16",44,"22 02 21 16"
"216","22","02","21","17",14,"22 02 21 17"
"217","22","02","21","18",0,"22 02 21 18"
"218","22","02","21","19",4,"22 02 21 19"
"219","22","02","21","20",0,"22 02 21 20"
"220","22","02","21","21",0,"22 02 21 21"
"221","22","02","21","22",0,"22 02 21 22"
"222","22","02","21","23",0,"22 02 21 23"
"223","22","02","22","00",0,"22 02 22 00"
"224","22","02","22","01",0,"22 02 22 01"
"225","22","02","22","02",0,"22 02 22 02"
"226","22","02","22","03",0,"22 02 22 03"
"227","22","02","22","04",0,"22 02 22 04"
"228","22","02","22","05",0,"22 02 22 05"
"229","22","02","22","06",0,"22 02 22 06"
"230","22","02","22","07",1,"22 02 22 07"
"231","22","02","22","08",4,"22 02 22 08"
"232","22","02","22","09",27,"22 02 22 09"
"233","22","02","22","10",43,"22 02 22 10"
"234","22","02","22","11",31,"22 02 22 11"
"235","22","02","22","12",15,"22 02 22 12"
"236","22","02","22","13",0,"22 02 22 13"
"237","22","02","22","14",0,"22 02 22 14"
"238","22","02","22","15",0,"22 02 22 15"
"239","22","02","22","16",10,"22 02 22 16"
"240","22","02","22","17",7,"22 02 22 17"
"241","22","02","22","18",0,"22 02 22 18"
"242","22","02","22","19",0,"22 02 22 19"
"243","22","02","22","20",0,"22 02 22 20"
"244","22","02","22","21",0,"22 02 22 21"
"245","22","02","22","22",0,"22 02 22 22"
"246","22","02","22","23",0,"22 02 22 23"
"247","22","02","23","00",0,"22 02 23 00"
"248","22","02","23","01",0,"22 02 23 01"
"249","22","02","23","02",0,"22 02 23 02"
"250","22","02","23","03",0,"22 02 23 03"
"251","22","02","23","04",0,"22 02 23 04"
"252","22","02","23","05",0,"22 02 23 05"
"253","22","02","23","06",4,"22 02 23 06"
"254","22","02","23","07",2,"22 02 23 07"
"255","22","02","23","08",5,"22 02 23 08"
"256","22","02","23","09",8,"22 02 23 09"
"257","22","02","23","10",9,"22 02 23 10"
"258","22","02","23","11",20,"22 02 23 11"
"259","22","02","23","12",36,"22 02 23 12"
"260","22","02","23","13",33,"22 02 23 13"
"261","22","02","23","14",13,"22 02 23 14"
"262","22","02","23","15",32,"22 02 23 15"
"263","22","02","23","16",43,"22 02 23 16"
"264","22","02","23","17",28,"22 02 23 17"
"265","22","02","23","18",0,"22 02 23 18"
"266","22","02","23","19",0,"22 02 23 19"
"267","22","02","23","20",0,"22 02 23 20"
"268","22","02","23","21",0,"22 02 23 21"
"269","22","02","23","22",0,"22 02 23 22"
"270","22","02","23","23",0,"22 02 23 23"
"271","22","02","24","00",0,"22 02 24 00"
"272","22","02","24","01",0,"22 02 24 01"
"273","22","02","24","02",0,"22 02 24 02"
"274","22","02","24","03",0,"22 02 24 03"
"275","22","02","24","04",0,"22 02 24 04"
"276","22","02","24","05",0,"22 02 24 05"
"277","22","02","24","06",1,"22 02 24 06"
"278","22","02","24","07",4,"22 02 24 07"
"279","22","02","24","08",12,"22 02 24 08"
"280","22","02","24","09",17,"22 02 24 09"
"281","22","02","24","10",34,"22 02 24 10"
"282","22","02","24","11",15,"22 02 24 11"
"283","22","02","24","12",19,"22 02 24 12"
